date,open,high,low,close,volume
2022-03-28,56600.0,58500.0,56000.0,58350.0,200000.0
2022-03-29,58350.0,58800.0,57000.0,57350.0,250000.0
2022-03-30,57350.0,57900.0,56000.0,56700.0,300000.0
2022-03-31,56700.0,57600.0,56000.0,56850.0,350000.0
2022-04-01,56850.0,58000.0,56000.0,57800.0,400000.0
2022-04-02,57800.0,59000.0,57500.0,58750.0,450000.0
2022-04-03,29478.0,30090.0,29325.0,29962.5,229500.0
2022-04-04,31246.68,31895.4,31084.5,31760.25,243270.0
2022-04-05,36771.52179608284,37534.94439392539,36580.6661466222,37375.89801937486,286283.4741909564
2022-04-06,35909.31691851707,36654.83906907452,35722.936380877705,36499.52195437505,279570.80645904294
2022-04-07,36198.9688676176,36950.50455345049,36011.08494615937,36793.93461890197,281825.88218733424
2022-04-08,30641.955263628337,31278.12042481093,30482.91397333268,31145.586016231224,238561.9354434732
2022-04-09,26331.97518426645,26878.65979016818,26195.30403279102,26764.767163938654,205006.72721314715
2022-04-10,29000.9980211033,29603.09486583209,28850.473809921103,29477.65802318025,225786.31677329564
2022-04-11,27045.510825624617,27607.009320274265,26905.136201962207,27490.03046722225,210561.9354936173
2022-04-12,27049.22461309492,27610.80021059862,26908.830713718995,27493.80529445201,210590.8490638878
2022-04-13,32215.30085542137,32884.13063096645,32048.0934115351,32744.79109439455,250811.16582940516
